"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KyleKulinski: Very much looking forward to 3 more questions on how we pay for medicare for all. #DemDebate",FALSE,0,NA,2019-11-20 23:59:57,FALSE,NA,"1197303599958757376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boringfatima",122,TRUE,FALSE,NA,NA
"2","Thanks for the #DemDebate reminder @washingtonpost!

Also, this tweet mention has got me like… https://t.co/0WWTRE14Nj",FALSE,3,NA,2019-11-20 23:59:56,TRUE,NA,"1197303595684835328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","freckledpedidoc",0,FALSE,FALSE,NA,NA
"3","As there isn't anything 'progressive' about Joe Biden,

@theNation's oldest progressive magazine

CALLS ON JOE BIDE… https://t.co/DOEWFiMR9X",FALSE,11,NA,2019-11-20 23:59:55,TRUE,NA,"1197303591637118976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AngryVoters",3,FALSE,FALSE,NA,NA
"4","RT @bourgeoisalien: Remember when watching the debate tonight that both WaPo and MSNBC would like nothing more than to destroy Bernie on be…",FALSE,0,NA,2019-11-20 23:59:55,FALSE,NA,"1197303590471254018",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1200BethL",101,TRUE,FALSE,NA,NA
"5","Side note:

How does Biden not get asked about his son and Burisma at tonight’s #DemDebate?",FALSE,1,NA,2019-11-20 23:59:55,FALSE,NA,"1197303589502406659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","humourme1234",0,FALSE,FALSE,NA,NA
"6","#TeamPete #wintheera #petewave #PeteButtigieg #PeteforPresident #DemDebate https://t.co/UTaj9qY4bB",FALSE,0,NA,2019-11-20 23:59:54,FALSE,NA,"1197303587866583041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jpcurlylocks",0,FALSE,FALSE,NA,NA
"7","RT @allontheline_ga: It’s time for a conversation about democracy reform at the #DemDebate!

<U+2705>Voting rights
<U+2705>Gerrymandering
<U+2705>Campaign Finan…",FALSE,0,NA,2019-11-20 23:59:54,FALSE,NA,"1197303585970765825",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RobinMCouch",14,TRUE,FALSE,NA,NA
"8",".#HollyHypocrites Party Of #METoo Broadcast @MSNBC @NBC Desperate Attempt To Outrun #CatchAndKill &amp; #TimesUp Scanda… https://t.co/MMO5ADZSyA",FALSE,0,NA,2019-11-20 23:59:53,TRUE,NA,"1197303583768809473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MediaShrink",0,FALSE,FALSE,NA,NA
"9","Team @redandblack has you covered for tonight’s #DemDebate. Follow along with @erinschilling85 and @megmittelhamms… https://t.co/CamytKCnkr",FALSE,14,NA,2019-11-20 23:59:53,TRUE,NA,"1197303583106043904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CollinHuguley",3,FALSE,FALSE,NA,NA
"10","Pete Buttigieg out here faking endorsements. 

Yang is actually focusing on changing one persons mind at a time.… https://t.co/mr43Kizgko",FALSE,6,NA,2019-11-20 23:59:53,TRUE,NA,"1197303582774759424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mynameswolf",1,FALSE,FALSE,NA,NA
"11","RT @LookAtThatHeed: I’d rather set myself on fire
#DemDebate https://t.co/ZBCwcGU3ez",FALSE,0,NA,2019-11-20 23:59:53,FALSE,NA,"1197303581755551744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vetshelp1",2,TRUE,FALSE,NA,NA
"12","RT @katierdolan: Lesther Holt just called @AndrewYang a ""rising star"" on Nightly News. The office cheered. What a way to start our #DemDeba…",FALSE,0,NA,2019-11-20 23:59:52,FALSE,NA,"1197303579285086213",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicolepagelee",208,TRUE,FALSE,NA,NA
"13","Gross just saw a Bernie ad telling me hes the most unprecedented campaign. vom. #DemDebate #democratDebate",FALSE,2,NA,2019-11-20 23:59:52,FALSE,NA,"1197303578119081984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nuts4Pete",0,FALSE,FALSE,NA,NA
"14","I’m just gonna leave this here. #DemDebate https://t.co/QsY5uIlIcM",FALSE,1,NA,2019-11-20 23:59:52,FALSE,NA,"1197303577288548356",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaritaBaby97",0,FALSE,FALSE,NA,NA
"15","RT @KyleKulinski: Very much looking forward to 3 more questions on how we pay for medicare for all. #DemDebate",FALSE,0,NA,2019-11-20 23:59:52,FALSE,NA,"1197303576214884352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PhilippeLamont3",122,TRUE,FALSE,NA,NA
"16","RT @davidslavick: .@JoeBiden campaign misfiring the post debate email. #DemDebate #DemocraticDebate https://t.co/KaflcPHYWk",FALSE,0,NA,2019-11-20 23:59:51,FALSE,NA,"1197303575501852674",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KittyLenoir",30,TRUE,FALSE,NA,NA
"17","RT @AtlantaYang: We got some wickedly cool signs! #DemDebate https://t.co/eVJHTkVk6T",FALSE,0,NA,2019-11-20 23:59:51,FALSE,NA,"1197303575224967168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HunterL2195",9,TRUE,FALSE,NA,NA
"18","RT @CoryBooker: Tonight's #DemDebate is only hours away, and I could not be more excited. My team is standing by to send real-time updates…",FALSE,0,NA,2019-11-20 23:59:51,FALSE,NA,"1197303574268698625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NedaMaze",76,TRUE,FALSE,NA,NA
"19","I forsee the worst of clownery during this debate.
#DemDebate https://t.co/yn4ylvWgdN",FALSE,0,NA,2019-11-20 23:59:51,FALSE,NA,"1197303573916336128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jones_iv",0,FALSE,FALSE,NA,NA
"20","RT @realryanpro: If ur trying to #BeLikePete for tonight's #DemDebate, above all else, be confident.

He is.

@PeteButtigieg @Chas10Buttigi…",FALSE,0,NA,2019-11-20 23:59:50,FALSE,NA,"1197303571114594304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mugzTnesh",13,TRUE,FALSE,NA,NA
"21","RT @ravenchollins: We ready. #DemDebate #PeteForPresident #TeamPete https://t.co/Rbt2al8sSR",FALSE,0,NA,2019-11-20 23:59:50,FALSE,NA,"1197303569801760768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katrebsmi",37,TRUE,FALSE,NA,NA
"22","RT @washingtonpost: @CharlesPDavis the fifth #DemDebate is about to start. 

Join us for live coverage on https://t.co/TUUV9ilzyR and in ou…",FALSE,0,NA,2019-11-20 23:59:50,FALSE,NA,"1197303569529131008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CharlesPDavis",1,TRUE,FALSE,NA,NA
"23","RT @KyleKulinski: Very much looking forward to 3 more questions on how we pay for medicare for all. #DemDebate",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303567561965568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cat_O_Clysm",122,TRUE,FALSE,NA,NA
"24","#DemDebate 
#tylerperrystudios 
#TP Troops",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303567247433728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anesgt87",0,FALSE,FALSE,NA,NA
"25","RT @bourgeoisalien: Remember when watching the debate tonight that both WaPo and MSNBC would like nothing more than to destroy Bernie on be…",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303566773473280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hodnett_andrew",101,TRUE,FALSE,NA,NA
"26","RT @GaryGrumbach: Some candidates participate in mock debates to prepare for the big night.

Sen. @BernieSanders shoots hoops, holds conver…",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303565653618690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elles_ryan",1295,TRUE,FALSE,NA,NA
"27","What if #ImpeachmentHearing doesn't end before #DemDebate starts? <U+0001F62F>",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303564441399297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PigWings11",0,FALSE,FALSE,NA,NA
"28","RT @VertDuFerk: Let me introduce you to our next President, @BernieSanders I've been in his corner (as a Vermonter) since 2001. In close to…",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303564273631233",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rjhenning2016",26,TRUE,FALSE,NA,NA
"29","RT @washingtonpost: @Kimmy2858 the fifth #DemDebate is about to start. 

Join us for live coverage on https://t.co/TUUV9ilzyR and in our ap…",FALSE,0,NA,2019-11-20 23:59:49,FALSE,NA,"1197303564231557121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kimmy2858",1,TRUE,FALSE,NA,NA
"30","It's Debate Night in America, folks. 
Here's how to watch tonight's #DemDebate: https://t.co/cbamLrLTtp",FALSE,0,NA,2019-11-20 23:59:48,FALSE,NA,"1197303563006959616",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","wgbhnews",0,FALSE,FALSE,NA,NA
"31","RT @NNUBonnie: Wishing @BernieSanders a great #DemDebate! Thank you for championing nurses’ values.<U+0001F4AA><U+0001F3FD><U+2764><U+FE0F>

This nurse—and her union—is proud…",FALSE,0,NA,2019-11-20 23:59:48,FALSE,NA,"1197303559697489920",NA,"<a href=""https://twitter.com/Bot2020Bernie"" rel=""nofollow"">bb2020</a>","BernieBot_2020",120,TRUE,FALSE,NA,NA
"32","RT @Lisa_Connelly: We are Boot-edge-edge’ing with you from all over the country! #BarnstormersForPete #ButtigiegBarnstormers #PeteStorm #Wi…",FALSE,0,NA,2019-11-20 23:59:47,FALSE,NA,"1197303558338760704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aldermo28",3,TRUE,FALSE,NA,NA
"33","RT @bern_bae: I proudly endorse Senator Bernie Sanders for POTUS.

Pass it on.
#DemDebate",FALSE,0,NA,2019-11-20 23:59:46,FALSE,NA,"1197303553594920960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ToastCynical",119,TRUE,FALSE,NA,NA
"34","Who wants to #DemDebate and chill?",FALSE,1,NA,2019-11-20 23:59:45,FALSE,NA,"1197303547873939457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OnceUponARoss",0,FALSE,FALSE,NA,NA
