"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The first of six episodes in our @LMUMagazine Off Press podcast series focused on the Democratic Presidential Candi… https://t.co/m7xvWdqzM8",FALSE,0,NA,2019-12-12 00:30:36,TRUE,NA,"1204921455747588096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JWLmageditor",0,FALSE,FALSE,NA,NA
"2","#Bieber2020 #BlacksForYang #autism #AndrewYang #yang2020 #democrat #YangGang #berniesanders #freedomdividend #trump… https://t.co/JknfwL2EcT",FALSE,0,NA,2019-12-12 00:28:49,TRUE,NA,"1204921006835425280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theUBIguy",0,FALSE,FALSE,NA,NA
"3","RT @reportinglabs: The countdown continues for the #DemDebate conducted by @NewsHour &amp; @politico where SRL is hosting a watch party &amp; post-…",FALSE,0,NA,2019-12-12 00:26:16,FALSE,NA,"1204920368290336768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VikingVision",2,TRUE,FALSE,NA,NA
"4","RT @AndrewYang: I’m not running for president because I fantasized about being president; I’m running for president because, like many of y…",FALSE,0,NA,2019-12-12 00:25:11,FALSE,NA,"1204920094813503489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayo_betty",12785,TRUE,FALSE,NA,NA
"5","RT @AndrewYang: I’m not running for president because I fantasized about being president; I’m running for president because, like many of y…",FALSE,0,NA,2019-12-12 00:23:52,FALSE,NA,"1204919762935001088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","koton14",12785,TRUE,FALSE,NA,NA
"6","MEN on BOTH SIDES—it's been established, srsly—are FAR more interested in the ""male dual loyalty"" #gaming surroundi… https://t.co/gNp1E6XNVM",FALSE,1,NA,2019-12-12 00:22:41,TRUE,NA,"1204919464086691841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lensjockey",0,FALSE,FALSE,NA,NA
"7","RT @AndrewYang: I’m not running for president because I fantasized about being president; I’m running for president because, like many of y…",FALSE,0,NA,2019-12-12 00:19:45,FALSE,NA,"1204918726786576386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_bcnava",12785,TRUE,FALSE,NA,NA
"8","RT @AndrewYang: I’m not running for president because I fantasized about being president; I’m running for president because, like many of y…",FALSE,0,NA,2019-12-12 00:18:10,FALSE,NA,"1204918328747319297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Onionbagel117",12785,TRUE,FALSE,NA,NA
"9","RT @lensjockey: Until someone starts talking explicitly about MEN and BOYS on BOTH SIDES, and their ""algorithmically identical to #domestic…",FALSE,0,NA,2019-12-12 00:14:53,FALSE,NA,"1204917501248884736",NA,"<a href=""http://app.com"" rel=""nofollow"">App roaring brain</a>","BrainRoaring",0,TRUE,FALSE,NA,NA
"10","RT @PaulRieckhoff: Strong line-up next week for #DemDebate. And I’m hoping PBS can be better than the ratings-hungry cable spectacles we’ve…",FALSE,0,NA,2019-12-12 00:14:34,FALSE,NA,"1204917423712940032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SusanCornutt",0,TRUE,FALSE,NA,NA
